metric_name,iteration,difficulty,duration_ns
MiningSpeed,0,1,0.175
MiningSpeed,1,1,0.905
MiningSpeed,2,1,1.404
MiningSpeed,3,1,0.436
MiningSpeed,4,1,0.223
MiningSpeed,5,1,0.933
MiningSpeed,6,1,0.611
MiningSpeed,7,1,1.378
MiningSpeed,8,1,0.113
MiningSpeed,9,1,0.183
MiningSpeed,0,2,2.665
MiningSpeed,1,2,6.109
MiningSpeed,2,2,4.623
MiningSpeed,3,2,1.917
MiningSpeed,4,2,2.343
MiningSpeed,5,2,12.010
MiningSpeed,6,2,15.443
MiningSpeed,7,2,1.302
MiningSpeed,8,2,6.998
MiningSpeed,9,2,1.014
MiningSpeed,0,3,52.766
MiningSpeed,1,3,132.208
MiningSpeed,2,3,29.498
MiningSpeed,3,3,33.711
MiningSpeed,4,3,102.976
MiningSpeed,5,3,214.035
MiningSpeed,6,3,191.012
MiningSpeed,7,3,2.038
MiningSpeed,8,3,23.852
MiningSpeed,9,3,146.131
MiningSpeed,0,4,3918.203
MiningSpeed,1,4,26.989
MiningSpeed,2,4,950.343
MiningSpeed,3,4,399.381
MiningSpeed,4,4,3576.183
MiningSpeed,5,4,8088.263
MiningSpeed,6,4,1888.895
MiningSpeed,7,4,4723.694
MiningSpeed,8,4,248.283
MiningSpeed,9,4,1355.730
MiningSpeed,0,5,3027.351
MiningSpeed,1,5,5.219
MiningSpeed,2,5,4630.646
MiningSpeed,3,5,62608.431
MiningSpeed,4,5,4325.253
MiningSpeed,5,5,34173.071
MiningSpeed,6,5,37571.811
MiningSpeed,7,5,42457.258
MiningSpeed,8,5,29345.667
MiningSpeed,9,5,26067.468
MiningSpeed,0,1,0.782
MiningSpeed,1,1,0.206
MiningSpeed,2,1,0.517
MiningSpeed,3,1,0.203
MiningSpeed,4,1,1.041
MiningSpeed,5,1,0.204
MiningSpeed,6,1,0.672
MiningSpeed,7,1,0.590
MiningSpeed,8,1,0.110
MiningSpeed,9,1,0.462
MiningSpeed,0,2,14.114
MiningSpeed,1,2,4.146
MiningSpeed,2,2,17.062
MiningSpeed,3,2,2.537
MiningSpeed,4,2,0.627
MiningSpeed,5,2,6.808
MiningSpeed,6,2,4.392
MiningSpeed,7,2,2.439
MiningSpeed,8,2,26.280
MiningSpeed,9,2,0.669
MiningSpeed,0,3,220.157
MiningSpeed,1,3,13.591
MiningSpeed,2,3,127.264
MiningSpeed,3,3,119.316
MiningSpeed,4,3,60.326
MiningSpeed,5,3,63.173
MiningSpeed,6,3,24.856
MiningSpeed,7,3,99.327
MiningSpeed,8,3,68.872
MiningSpeed,9,3,27.485
MiningSpeed,0,4,495.149
MiningSpeed,1,4,3791.441
MiningSpeed,2,4,77.765
MiningSpeed,3,4,525.552
MiningSpeed,4,4,496.713
MiningSpeed,5,4,1779.399
MiningSpeed,6,4,375.481
MiningSpeed,7,4,975.646
MiningSpeed,8,4,342.126
MiningSpeed,9,4,1713.309
MiningSpeed,0,5,5224.854
MiningSpeed,1,5,34475.560
MiningSpeed,2,5,3708.536
MiningSpeed,3,5,3257.513
MiningSpeed,4,5,68347.806
MiningSpeed,5,5,3561.483
MiningSpeed,6,5,707.523
MiningSpeed,7,5,4527.320
MiningSpeed,8,5,23111.654
MiningSpeed,9,5,4637.320
MiningSpeed,0,6,849870.694
MiningSpeed,1,6,135058.899
MiningSpeed,2,6,182803.241
MiningSpeed,3,6,533460.983
MiningSpeed,0,1,0.529
MiningSpeed,1,1,0.409
MiningSpeed,2,1,1.429
MiningSpeed,3,1,0.121
MiningSpeed,4,1,0.253
MiningSpeed,5,1,0.122
MiningSpeed,6,1,0.570
MiningSpeed,7,1,0.316
MiningSpeed,8,1,0.363
MiningSpeed,9,1,0.240
MiningSpeed,0,2,5.769
MiningSpeed,1,2,7.596
MiningSpeed,2,2,0.174
MiningSpeed,3,2,11.018
MiningSpeed,4,2,11.065
MiningSpeed,5,2,6.007
MiningSpeed,6,2,6.496
MiningSpeed,7,2,2.744
MiningSpeed,8,2,10.082
MiningSpeed,9,2,21.173
MiningSpeed,0,3,450.587
MiningSpeed,1,3,46.657
MiningSpeed,2,3,121.574
MiningSpeed,3,3,408.443
MiningSpeed,4,3,106.642
MiningSpeed,5,3,0.507
MiningSpeed,6,3,64.035
MiningSpeed,7,3,117.441
MiningSpeed,8,3,30.715
MiningSpeed,9,3,140.148
MiningSpeed,0,4,2004.468
MiningSpeed,1,4,2710.416
MiningSpeed,2,4,4592.804
MiningSpeed,3,4,1234.338
MiningSpeed,4,4,2327.599
MiningSpeed,5,4,842.016
MiningSpeed,6,4,6259.966
MiningSpeed,7,4,1919.095
MiningSpeed,8,4,87.070
MiningSpeed,9,4,1996.871
MiningSpeed,0,5,14837.033
MiningSpeed,1,5,3462.468
MiningSpeed,2,5,6103.640
MiningSpeed,3,5,1183.519
MiningSpeed,4,5,57967.736
MiningSpeed,5,5,13501.216
MiningSpeed,6,5,5740.007
MiningSpeed,7,5,22530.628
MiningSpeed,8,5,5602.742
MiningSpeed,9,5,5713.319
MiningSpeed,0,6,234779.397
MiningSpeed,1,6,130290.430
MiningSpeed,2,6,312739.192
MiningSpeed,3,6,130633.520
MiningSpeed,4,6,287147.124
MiningSpeed,5,6,2527.429
MiningSpeed,6,6,841734.823
MiningSpeed,7,6,98312.398
MiningSpeed,8,6,146068.005
MiningSpeed,9,6,513054.342
MiningSpeed,0,1,0.059
MiningSpeed,1,1,0.157
MiningSpeed,2,1,0.031
MiningSpeed,3,1,0.045
MiningSpeed,4,1,0.158
MiningSpeed,5,1,0.199
MiningSpeed,6,1,0.220
MiningSpeed,7,1,0.053
MiningSpeed,8,1,0.018
MiningSpeed,9,1,0.025
MiningSpeed,0,2,0.965
MiningSpeed,1,2,0.018
MiningSpeed,2,2,1.036
MiningSpeed,3,2,0.467
MiningSpeed,4,2,3.589
MiningSpeed,5,2,1.622
MiningSpeed,6,2,0.109
MiningSpeed,7,2,0.266
MiningSpeed,8,2,0.151
MiningSpeed,9,2,0.911
MiningSpeed,0,3,3.271
MiningSpeed,1,3,12.658
MiningSpeed,2,3,27.257
MiningSpeed,3,3,3.861
MiningSpeed,4,3,0.969
MiningSpeed,5,3,53.093
MiningSpeed,6,3,26.223
MiningSpeed,7,3,13.451
MiningSpeed,8,3,14.200
MiningSpeed,9,3,4.685
MiningSpeed,0,4,4.118
MiningSpeed,1,4,228.522
MiningSpeed,2,4,227.306
MiningSpeed,3,4,278.275
MiningSpeed,4,4,402.897
MiningSpeed,5,4,40.515
MiningSpeed,6,4,55.775
MiningSpeed,7,4,125.440
MiningSpeed,8,4,99.009
MiningSpeed,9,4,236.723
